RES,POW,TotalFlow
1001113,1001113,35
1001124,1001124,55
1001124,1001126,30
1001124,1001149,35
1001124,1001263,30
1001124,1001517,25
1001124,1001519,215
1001124,1001542,25
1001124,1001557,40
1001124,1001559,35
1001126,1001126,75
1001126,1001519,35
1001131,1001131,30
1001149,1001149,40
1001149,1001519,30
1001155,1001519,25
1001155,1001542,30
1001178,1001178,45
1001178,1001519,20
1001203,1001263,20
1001203,1001298,30
1001203,1001519,50
1001214,1001228,30
1001228,1001228,35
1001234,1001240,65
1001234,1001263,30
1001240,1001240,740
1001240,1001259,30
1001240,1001263,145
1001240,1001298,20
1001240,1001519,75
1001240,1001542,20
1001240,4816037,20
1001254,1001240,20
1001259,1001259,30
1001259,1001263,20
1001259,1001274,40
1001263,1001263,45
1001263,1001519,20
1001270,1001259,35
1001270,1001270,140
1001270,1001274,55
1001274,1001274,35
1001277,1001259,20
1001277,1001274,35
1001285,1001285,60
1001285,1001298,20
1001285,1001519,30
1001289,1001289,45
1001293,1001263,35
1001293,1001293,130
1001293,1001298,125
1001293,1001304,30
1001293,1001519,40
1001298,1001263,30
1001298,1001298,140
1001298,1001519,50
1001304,1001240,20
1001304,1001263,70
1001304,1001293,85
1001304,1001298,65
1001304,1001304,290
1001304,1001370,50
1001304,1001409,25
1001304,1001519,70
1001304,1001542,30
1001308,1001304,25
1001312,1001293,20
1001312,1001304,30
1001312,1001312,20
1001312,1001370,20
1001321,1001343,50
1001325,1001325,30
1001328,1001332,20
1001332,1001332,100
1001332,1001343,35
1001335,1001415,20
1001339,1001339,55
1001339,1001343,130
1001339,1001347,70
1001339,1001370,50
1001339,1001446,25
1001339,1001519,35
1001343,1001343,100
1001343,1001347,25
1001347,1001347,80
1001352,1001370,25
1001357,1001370,55
1001361,1001370,65
1001361,1001519,20
1001365,1001343,45
1001365,1001365,50
1001365,1001370,235
1001365,1001379,30
1001365,1001409,35
1001365,1001519,30
1001370,1001263,65
1001370,1001343,35
1001370,1001347,20
1001370,1001370,950
1001370,1001379,80
1001370,1001409,110
1001370,1001519,140
1001370,4816037,30
1001374,1001370,50
1001374,1001379,20
1001375,1001370,30
1001375,1001519,20
1001379,1001263,20
1001379,1001370,295
1001379,1001379,225
1001379,1001396,20
1001379,1001409,75
1001379,1001519,60
1001379,1001542,20
1001379,4816037,30
1001385,1001263,30
1001385,1001370,90
1001385,1001385,40
1001385,1001396,25
1001385,1001409,85
1001385,1001519,35
1001394,1001370,20
1001394,1001409,20
1001396,1001259,20
1001396,1001263,40
1001396,1001370,95
1001396,1001379,50
1001396,1001385,20
1001396,1001396,100
1001396,1001409,215
1001396,1001415,25
1001396,1001519,95
1001396,1010032,20
1001396,4816037,35
1001409,1001259,50
1001409,1001263,70
1001409,1001274,20
1001409,1001298,40
1001409,1001370,150
1001409,1001379,50
1001409,1001385,40
1001409,1001396,60
1001409,1001409,840
1001409,1001415,40
1001409,1001429,50
1001409,1001517,20
1001409,1001519,245
1001409,1001542,50
1001409,4816037,25
1001415,1001370,30
1001415,1001409,45
1001415,1001415,50
1001415,1001519,55
1001421,1001409,70
1001421,1001519,60
1001426,1001409,50
1001426,1001519,30
1001429,1001263,20
1001429,1001370,30
1001429,1001396,20
1001429,1001409,115
1001429,1001429,55
1001429,1001519,65
1001434,1001263,20
1001434,1001409,45
1001434,1001434,40
1001434,1001519,30
1001434,1001542,20
1001437,1001409,45
1001437,1001519,60
1001446,1001409,25
1001446,1001429,20
1001446,1001446,50
1001446,1001519,35
1001452,1001409,20
1001452,1001519,55
1001456,1001259,30
1001456,1001263,20
1001456,1001519,35
1001461,1001259,35
1001461,1001461,20
1001461,1001472,20
1001461,1001519,60
1001464,1001263,30
1001464,1001472,20
1001464,1001519,75
1001469,1001259,40
1001469,1001472,45
1001469,1001485,20
1001469,1001519,105
1001469,1001542,45
1001472,1001263,40
1001472,1001472,185
1001472,1001485,90
1001472,1001519,305
1001472,1001542,50
1001485,1001259,70
1001485,1001263,155
1001485,1001293,30
1001485,1001409,25
1001485,1001464,20
1001485,1001472,110
1001485,1001485,2250
1001485,1001504,20
1001485,1001511,20
1001485,1001517,535
1001485,1001519,5740
1001485,1001542,1455
1001485,1010020,45
1001485,4816037,65
1001490,1001519,20
1001494,1001494,220
1001494,1001519,135
1001504,1001263,55
1001504,1001485,30
1001504,1001504,245
1001504,1001509,25
1001504,1001517,55
1001504,1001519,2400
1001504,1001542,335
1001505,1001505,55
1001505,1001509,30
1001505,1001519,600
1001505,1001542,55
1001507,1001263,25
1001507,1001507,35
1001507,1001509,40
1001507,1001519,520
1001507,1001542,30
1001509,1001259,40
1001509,1001263,40
1001509,1001505,20
1001509,1001509,240
1001509,1001517,35
1001509,1001519,2690
1001509,1001542,240
1001511,1001509,25
1001511,1001511,20
1001511,1001519,805
1001511,1001542,40
1001512,1001519,110
1001517,1001259,100
1001517,1001263,210
1001517,1001274,35
1001517,1001472,35
1001517,1001485,285
1001517,1001504,45
1001517,1001509,25
1001517,1001517,1130
1001517,1001519,6420
1001517,1001542,1375
1001517,1010020,40
1001517,1010025,20
1001517,4816037,25
1001519,1001259,195
1001519,1001263,400
1001519,1001274,40
1001519,1001277,20
1001519,1001293,40
1001519,1001298,30
1001519,1001370,30
1001519,1001409,20
1001519,1001472,30
1001519,1001485,345
1001519,1001504,115
1001519,1001505,25
1001519,1001509,170
1001519,1001511,75
1001519,1001517,830
1001519,1001519,38860
1001519,1001542,3720
1001519,1001557,35
1001519,1006009,30
1001519,1010020,85
1001519,1010025,35
1001519,1301006,20
1001519,3506008,20
1001519,3520005,20
1001519,4816037,85
1001542,1001240,20
1001542,1001259,55
1001542,1001263,80
1001542,1001485,60
1001542,1001504,20
1001542,1001517,360
1001542,1001519,6515
1001542,1001542,2900
1001542,1010020,25
1001551,1001461,20
1001551,1001519,270
1001551,1001542,50
1001551,1001551,20
1001557,1001519,305
1001557,1001542,90
1001557,1001557,90
1001557,1001559,25
1001559,1001519,280
1001559,1001542,45
1001559,1001557,60
1001559,1001559,80
1001565,1001519,25
1002001,1002024,25
1002002,1002005,60
1002002,1002024,60
1002005,1001259,20
1002005,1001263,20
1002005,1002005,285
1002005,1002024,220
1002005,4816037,30
1002008,1002005,20
1002008,1002008,200
1002008,1002024,35
1002011,1002008,20
1002011,1002011,65
1002012,1002012,35
1002018,1002018,155
1002018,1002019,95
1002019,1002008,20
1002019,1002018,60
1002019,1002019,395
1002019,1002024,40
1002021,1002005,25
1002021,1002021,20
1002021,1002024,25
1002022,1002024,35
1002023,1002005,25
1002023,1002024,85
1002024,1001259,45
1002024,1001263,65
1002024,1001519,50
1002024,1002005,210
1002024,1002019,20
1002024,1002024,1080
1002024,4816037,45
1002025,1002005,45
1002025,1002024,35
1002027,1002041,25
1002031,1002005,20
1002031,1002024,30
1002031,1002031,30
1002036,1002036,25
1002041,1001259,20
1002048,1007013,35
1003002,1003002,25
1003003,1003003,80
1003004,1003004,40
1003008,1003008,375
1003011,1003011,75
1003014,1003014,30
1003014,1003019,20
1003018,1003018,90
1003018,1003019,30
1003018,1003020,35
1003019,1003018,35
