RES,POW,TotalFlow
1,1,80
1,40,30
3,40,20
4,6,35
5,6,50
7,12,30
7,40,35
8,8,25
11,11,35
13,12,80
13,13,295
13,21,45
13,24,25
13,40,105
14,16,25
14,40,20
15,15,50
17,18,170
17,21,75
17,40,25
17,116,20
18,18,100
19,18,40
20,21,105
21,21,880
21,24,55
21,40,95
22,21,310
22,23,20
22,24,50
22,25,30
22,40,50
23,10,35
23,21,90
23,23,160
23,24,230
23,40,110
24,10,30
24,12,30
24,21,130
24,23,40
24,24,740
24,25,35
24,27,85
24,32,65
24,40,205
24,41,35
24,2742,50
25,24,30
25,25,40
25,40,55
26,24,35
28,21,30
28,24,30
28,40,35
29,40,105
30,40,60
30,41,25
32,9,20
32,31,95
32,32,2485
32,33,90
32,36,30
32,39,340
32,40,5725
32,41,1365
32,2742,55
33,32,40
33,33,185
33,36,20
33,39,70
33,40,2440
33,41,255
33,2742,75
34,34,65
34,36,25
34,40,615
34,41,30
35,2,20
35,36,35
35,40,505
35,41,30
36,32,45
36,36,240
36,39,40
36,40,2600
36,41,200
37,36,55
37,37,25
37,40,880
37,41,20
38,40,105
39,9,30
39,32,245
39,36,45
39,39,805
39,40,5705
39,41,1445
39,2742,85
40,9,55
40,21,65
40,31,40
40,32,340
40,33,65
40,34,25
40,36,140
40,37,40
40,39,535
40,40,39080
40,41,4160
40,183,65
40,305,65
40,347,35
40,1547,35
40,1624,30
40,2742,140
41,9,50
41,31,25
41,32,105
41,39,245
41,40,7690
41,41,3460
42,44,20
42,53,45
43,44,60
43,53,95
44,44,385
44,53,390
44,2742,35
45,46,30
46,44,20
46,46,230
46,53,25
47,44,25
47,46,30
47,47,85
47,2742,20
48,46,30
49,49,160
49,50,45
50,49,80
50,50,360
50,53,50
51,53,90
52,44,50
52,53,30
53,10,55
53,40,30
53,44,205
53,46,40
53,50,25
53,53,1160
53,56,20
53,2742,115
54,44,30
54,53,40
55,44,20
55,53,45
55,55,45
56,2742,45
57,53,40
58,53,30
59,59,50
60,60,70
61,61,25
62,62,20
63,63,435
63,73,20
64,64,65
65,65,75
65,66,55
66,65,60
66,66,245
67,65,25
68,68,40
69,69,230
70,73,165
71,71,25
71,73,50
72,72,55
73,73,1125
73,76,30
74,73,25
75,75,255
76,73,140
76,76,160
77,80,45
77,81,40
78,78,65
78,80,35
78,81,90
79,81,205
80,80,205
80,81,120
81,78,40
81,80,35
81,81,1695
81,98,100
82,80,20
82,81,485
83,81,65
84,81,100
84,84,25
84,86,55
85,80,20
85,81,30
85,85,50
86,86,45
87,87,25
87,89,30
88,88,1120
88,92,30
88,94,20
88,98,190
88,2742,50
89,89,20
90,88,20
91,91,40
93,98,100
94,88,70
94,93,30
94,94,225
94,96,55
94,98,640
95,88,90
95,95,60
95,98,45
96,98,115
97,96,20
97,98,530
98,40,60
98,81,60
98,88,50
98,94,50
98,96,230
98,98,6825
98,2742,35
99,98,155
100,98,55
100,100,40
101,98,45
101,101,70
102,98,160
103,98,510
104,104,100
104,105,20
104,108,65
105,40,35
105,105,4575
105,107,25
105,135,25
106,105,160
106,106,40
107,105,170
107,107,25
107,108,25
108,40,35
108,105,70
108,108,4175
108,109,95
108,110,25
108,112,45
108,148,45
108,2742,20
109,108,400
109,109,245
109,110,75
111,105,20
111,108,90
111,111,20
113,112,20
113,113,70
114,116,195
114,136,20
115,116,260
116,10,140
116,40,45
116,116,1750
116,118,50
117,116,20
119,116,45
119,118,50
120,116,50
120,120,45
121,122,50
122,122,65
123,123,20
124,105,150
124,124,225
125,105,45
125,125,70
126,9,20
126,105,30
126,126,50
126,129,20
126,130,20
126,2742,20
127,130,45
128,130,20
129,125,25
129,129,50
130,40,25
130,105,25
130,126,30
130,130,600
131,130,25
132,130,65
132,132,30
133,105,40
133,130,50
133,133,70
134,105,250
134,134,125
134,135,65
134,2742,35
135,105,35
135,135,70
136,137,85
137,136,20
137,137,130
138,137,105
138,138,20
139,137,20
140,137,35
141,105,30
141,141,125
141,142,20
141,143,60
141,144,100
143,143,110
145,148,30
146,148,170
147,148,110
148,105,35
148,108,40
148,148,670
149,148,45
150,110,20
151,108,35
151,155,20
152,152,65
153,153,40
154,154,45
155,155,400
156,155,20
157,155,25
158,158,55
159,159,50
160,160,55
160,161,25
161,160,45
161,161,160
162,162,55
163,163,45
164,164,20
165,166,45
166,166,125
166,169,25
167,163,20
167,167,25
168,166,30
168,168,215
168,169,35
168,171,95
169,166,75
169,169,90
170,168,20
171,171,740
172,171,30
174,173,25
174,174,100
174,184,20
175,175,35
176,176,70
177,177,35
178,178,80
179,179,115
180,180,45
181,181,60
181,182,105
181,186,50
181,187,20
182,40,25
182,181,30
182,182,3385
182,186,125
182,187,105
183,183,3230
183,184,780
185,185,250
186,182,20
186,186,225
188,188,75
189,189,50
190,190,85
191,191,105
192,192,310
193,196,90
193,237,55
194,196,285
194,237,70
195,237,25
196,196,435
196,237,30
197,196,25
197,197,20
197,237,35
198,196,70
198,237,30
199,196,40
199,237,35
200,203,55
200,237,30
201,49,50
201,203,135
201,237,20
202,203,210
203,203,230
204,203,25
205,197,20
205,208,20
205,237,80
206,208,25
206,237,30
207,208,60
207,237,40
208,208,60
208,237,30
209,208,65
209,237,75
210,237,90
211,196,60
211,237,65
212,237,80
213,196,80
213,237,45
214,196,35
214,214,25
214,237,210
215,196,20
215,214,20
215,237,225
215,238,25
216,216,95
216,237,430
216,239,55
217,237,695
217,238,20
217,239,80
217,255,35
218,221,30
218,237,165
218,241,20
218,255,25
219,237,125
219,255,30
220,237,60
221,221,30
222,229,25
222,237,75
222,249,55
222,255,20
223,237,175
224,237,30
224,249,75
224,255,80
225,237,65
225,249,40
225,255,45
226,226,60
226,237,345
227,229,50
227,237,85
227,255,40
228,229,50
228,237,205
229,237,55
230,237,145
232,237,25
234,237,180
235,235,20
235,237,95
236,237,100
237,196,100
237,226,20
237,230,70
237,231,20
237,233,40
237,237,13660
237,238,320
237,239,165
237,241,55
237,252,35
237,255,225
238,196,75
238,237,3145
238,238,445
238,255,20
239,216,25
239,223,25
239,237,1825
239,238,65
239,239,140
239,255,25
240,221,25
240,237,55
240,240,20
240,241,50
240,255,70
241,237,25
241,241,95
241,242,20
241,255,50
242,237,45
242,241,35
242,242,40
242,243,35
242,252,25
242,255,155
243,237,30
243,243,20
243,255,45
244,237,25
244,249,45
244,255,175
245,255,25
246,237,30
246,249,20
246,255,260
248,255,20
249,237,20
249,247,95
249,249,245
249,255,165
250,237,55
250,247,25
250,249,110
250,250,30
250,255,165
251,255,35
252,254,25
252,255,170
253,255,50
255,237,195
255,241,120
255,242,50
255,243,30
255,244,25
255,247,190
255,248,60
255,249,85
255,252,205
255,254,45
255,255,4320
255,256,30
255,2742,35
256,252,55
256,255,165
256,257,20
258,255,120
259,255,40
260,252,25
260,255,130
261,255,40
261,261,35
262,261,50
263,255,20
263,268,65
264,265,30
265,255,35
265,265,75
265,268,95
266,265,25
266,268,65
267,265,25
267,268,250
268,268,90
269,270,680
269,271,70
269,272,50
269,273,90
270,270,395
271,270,55
271,271,940
271,272,130
271,273,1310
271,275,20
271,276,25
272,271,170
272,272,390
272,273,2670
272,275,70
272,277,45
273,271,65
273,272,130
273,273,1955
274,273,20
275,272,30
275,273,395
275,275,1815
275,276,200
275,277,295
275,305,35
276,273,30
276,275,185
276,276,515
276,277,1080
276,281,70
276,282,75
276,292,25
276,305,55
277,275,20
277,276,25
277,277,510
278,276,20
279,270,35
279,279,2370
279,280,35
279,287,65
279,288,450
279,289,35
279,305,130
279,346,60
280,276,20
280,282,45
280,284,40
280,286,130
280,288,30
280,292,310
280,293,45
280,295,30
281,276,40
281,277,225
281,281,390
281,282,385
281,283,25
281,284,60
