RES,POW,TotalFlow
1,1,8828
1,7,6
1,11,504
1,22,27
1,24,296
1,26,2186
1,27,14
1,37,271
1,39,8
1,41,79
1,43,97
1,44,31
1,45,17
1,49,49
1,51,11306
1,58,8
1,59,96
1,61,7
1,62,20
1,63,10
1,66,33
1,323,17
1,348,5
1,487,71
1,493,22
1,528,15
1,1122,9
1,1135,23
1,1142,11
1,1333,7
1,1426,5
1,1598,11
1,2447,7
1,2475,17
2,2,60659
2,7,9
2,8,29
2,13,25
2,17,8
2,18,21
2,21,11
2,24,32
2,25,15
2,27,748
2,37,121
2,39,32
2,41,24
2,42,39
2,45,25
2,49,16350
2,50,36
2,51,177
2,55,32
2,59,4
2,63,96
2,65,128
2,86,12
2,104,30
2,183,4
2,205,10
2,222,23
2,223,81
2,320,167
2,335,20
2,336,3193
2,348,22
2,363,14
2,366,111
2,368,13
2,377,102
2,418,18
2,425,3
2,431,111
2,447,16
2,454,27
2,463,26
2,493,15
2,533,35
2,605,16
2,674,11
2,717,48
2,846,25
2,934,21
2,1122,10
2,1123,52
2,1130,12
2,1139,114
2,1142,29
2,1149,40
2,1168,108
2,1186,33
2,1208,9
2,1213,5
2,1226,105
2,1341,20
2,1424,4
2,1425,139
2,1431,421
2,1432,31
2,1434,11
2,1435,26
2,1438,13
2,1445,13
2,1454,9
2,1462,19
2,1792,17
2,1843,1
2,1859,8
2,1861,10
2,1871,32
2,2120,3
2,2203,9
2,2307,34
2,2447,2
2,2461,27
2,2507,8
2,2523,2
2,2526,6
2,2538,4
2,2580,14
2,2602,2
2,2607,20
2,2624,205
2,2675,4
2,2743,6
2,2893,16
3,3,6109
3,6,142
3,9,54
3,16,10
3,21,20
3,23,415
3,34,232
3,35,138
3,37,19
3,41,60
3,44,1
3,45,5
3,49,4
3,51,99
3,55,179
3,57,469
3,63,5
3,70,15
3,413,12
3,417,42
3,436,3
3,447,5
3,475,21
3,493,130
3,505,116
3,507,75
3,515,53
3,2624,10
4,4,3444
4,11,118
4,33,4
4,36,2
4,37,1754
4,44,14
4,45,4
4,53,2
4,59,629
4,61,29
4,63,2088
4,205,13
4,366,23
4,412,6
4,1209,5
4,1439,7
4,2743,6
5,4,20
5,5,7485
5,8,34
5,10,25
5,22,1412
5,25,26
5,28,256
5,30,11
5,36,37
5,37,10369
5,39,4
5,42,3
5,45,270
5,48,790
5,49,5
5,51,62
5,52,110
5,58,261
5,59,328
5,61,44
5,62,15
5,63,19
5,64,199
5,183,12
5,292,10
5,435,3
5,463,2
5,502,1
5,535,38
5,1130,9
5,1214,1
5,1436,3
5,1950,2
5,2246,3
5,2290,18
5,2447,9
5,2507,18
5,2750,16
5,2795,7
6,3,220
6,6,2447
6,26,13
6,37,10
6,41,77
6,44,85
6,51,631
6,55,270
6,57,58
6,493,23
6,1439,14
7,1,22
7,2,12
7,6,8
7,7,5584
7,16,14
7,18,209
7,20,200
7,21,259
7,22,3
7,24,7
7,26,9
7,27,40
7,31,6
7,35,12
7,37,42
7,41,18
7,43,211
7,50,27
7,51,733
7,55,110
7,57,4
7,59,5
7,62,6
7,66,43
7,336,20
7,1162,8
7,1424,4
7,1776,7
7,1940,21
7,1999,8
7,2339,64
7,2560,8
7,2767,14
7,2833,4
8,1,7
8,2,10
8,8,36657
8,10,216
8,11,51
8,14,54
8,15,411
8,22,39
8,25,41
8,28,2027
8,36,6
8,37,1001
8,41,91
8,43,24
8,45,127
8,48,59
8,49,17
8,51,80
8,52,10
8,53,9
8,56,109
8,58,635
8,59,68
8,61,3315
8,62,12
8,63,18
8,64,4
8,326,10
8,336,37
